Year,State,Region,Population_Crore,Murder,Rape,Kidnapping,Robbery,Theft,Assault,Cybercrime,Fraud,Total_Crimes,Crime_Rate_per_100k,YoY_Change_%,Violent_Crimes,Property_Crimes
2015,Andhra Pradesh,South,49.049,820,1520,1628,574,6606,5036,4159,3077,23420,4.77,,9578,10257
2016,Andhra Pradesh,South,49.588,746,877,2108,1071,7135,5978,1916,2529,22360,4.51,-4.53,10780,10735
2017,Andhra Pradesh,South,50.127,692,1298,1329,934,6801,6868,3172,3355,24449,4.88,9.34,11121,11090
2018,Andhra Pradesh,South,50.666,811,1096,1637,941,6305,9224,2481,2196,24691,4.87,0.99,13709,9442
2019,Andhra Pradesh,South,51.205,896,1901,2049,742,6812,9977,4614,2662,29653,5.79,20.1,15565,10216
2020,Andhra Pradesh,South,51.744,596,798,1825,592,9086,6134,4736,4023,27790,5.37,-6.28,9945,13701
2021,Andhra Pradesh,South,52.283,555,1811,1907,1166,11879,8897,8899,2736,37850,7.24,36.2,14336,15781
2022,Andhra Pradesh,South,52.822,629,1027,1529,860,8590,11746,5595,4331,34307,6.49,-9.36,15791,13781
2023,Andhra Pradesh,South,53.361,796,1156,2224,617,14337,11558,4545,3032,38265,7.17,11.54,16351,17986
2024,Andhra Pradesh,South,53.9,937,1822,2167,1223,7393,8517,4050,8812,34921,6.48,-8.74,14666,17428
2015,Arunachal Pradesh,Northeast,1.456,21,32,46,24,371,316,152,97,1059,7.27,,439,492
2016,Arunachal Pradesh,Northeast,1.472,18,55,66,31,390,289,122,104,1075,7.3,1.51,459,525
2017,Arunachal Pradesh,Northeast,1.488,17,35,36,34,287,299,213,94,1015,6.82,-5.58,421,415
2018,Arunachal Pradesh,Northeast,1.504,23,59,46,19,287,219,249,182,1084,7.21,6.8,366,488
2019,Arunachal Pradesh,Northeast,1.52,27,64,73,23,448,321,253,214,1423,9.36,31.27,508,685
2020,Arunachal Pradesh,Northeast,1.536,19,30,39,25,359,338,56,139,1005,6.54,-29.37,451,523
2021,Arunachal Pradesh,Northeast,1.552,23,39,39,26,438,252,209,200,1226,7.9,21.99,379,664
2022,Arunachal Pradesh,Northeast,1.568,25,73,86,26,370,277,177,106,1140,7.27,-7.01,487,502
2023,Arunachal Pradesh,Northeast,1.584,29,55,42,28,492,266,143,213,1268,8.01,11.23,420,733
2024,Arunachal Pradesh,Northeast,1.6,36,46,74,43,312,411,245,262,1429,8.93,12.7,610,617
2015,Assam,Northeast,32.214,532,738,1523,551,5445,3939,2506,2632,17866,5.55,,7283,8628
2016,Assam,Northeast,32.568,386,1076,978,750,5506,7500,2252,3615,22063,6.77,23.49,10690,9871
2017,Assam,Northeast,32.922,432,968,890,930,9470,5308,3747,3698,25443,7.73,15.32,8528,14098
2018,Assam,Northeast,33.276,575,1140,1038,454,9795,9015,4169,2609,28795,8.65,13.17,12222,12858
2019,Assam,Northeast,33.63,521,1325,1729,950,9344,7741,1787,2265,25662,7.63,-10.88,12266,12559
2020,Assam,Northeast,33.984,587,1029,691,393,7274,3441,2021,3225,18661,5.49,-27.28,6141,10892
2021,Assam,Northeast,34.338,601,1202,992,801,5937,5640,6054,4276,25503,7.43,36.66,9236,11014
2022,Assam,Northeast,34.692,730,1355,1488,496,7460,5965,3644,6536,27674,7.98,8.51,10034,14492
2023,Assam,Northeast,35.046,584,1592,1589,974,8458,8032,6017,3336,30582,8.73,10.51,12771,12768
2024,Assam,Northeast,35.4,715,1071,935,893,6569,10511,10663,7318,38675,10.93,26.46,14125,14780
2015,Bihar,East,115.388,1105,3992,3352,2674,27828,23954,4755,5797,73457,6.37,,35077,36299
2016,Bihar,East,116.656,1877,2718,2707,2049,28042,22053,8500,4402,72348,6.2,-1.51,31404,34493
2017,Bihar,East,117.924,1704,4318,2685,2030,27743,23273,11425,9891,83069,7.04,14.82,34010,39664
2018,Bihar,East,119.192,1504,2788,4700,2587,28201,26620,10531,9126,86057,7.22,3.6,38199,39914
2019,Bihar,East,120.46,1957,3702,4484,2620,29215,17595,9803,5959,75335,6.25,-12.46,30358,37794
2020,Bihar,East,121.728,1464,1873,3167,1815,16028,18291,4043,4841,51522,4.23,-31.61,26610,22684
2021,Bihar,East,122.996,1882,2861,2631,2024,25860,14782,15537,6379,71956,5.85,39.66,24180,34263
2022,Bihar,East,124.264,1327,3648,4271,2493,28248,30156,16563,10697,97403,7.84,35.36,41895,41438
2023,Bihar,East,125.532,2129,3048,4031,1454,16082,30560,25784,16813,99901,7.96,2.56,41222,34349
2024,Bihar,East,126.8,1764,2853,3178,1828,26171,26590,23616,11818,97818,7.71,-2.09,36213,39817
