State,Region,Literacy_Rate_%,Unemployment_Rate_%,GDP_per_Capita_INR,Population_Density_per_km2,Urbanization_%
Andhra Pradesh,South,85.03,12.26,229468,419.3,34.64
Arunachal Pradesh,Northeast,84.24,11.89,149933,495.5,60.59
Assam,Northeast,86.78,13.83,338902,520.4,46.58
Bihar,East,82.85,3.4,269684,874.4,27.53
Chhattisgarh,Central,86.08,9.21,404233,127.5,31.94
Goa,West,81.24,5.91,325760,930.1,24.61
Gujarat,West,78.87,8.35,211863,1124.9,57.24
Haryana,North,83.82,10.71,242366,1111.5,51.26
Himachal Pradesh,North,84.68,12.41,180444,983.9,28.79
Jharkhand,East,74.32,6.36,412913,1039.3,51.55
Karnataka,South,84.63,8.96,402540,635.8,37.12
Kerala,South,69.4,11.54,332366,510.5,21.13
Madhya Pradesh,Central,87.65,2.63,322221,1166.7,39.69
Maharashtra,West,71.34,10.61,359652,692,63.52
Manipur,Northeast,66.4,8.31,327090,1046.2,28.07
Meghalaya,Northeast,86.6,8.86,220863,227.5,58.94
Mizoram,Northeast,69.25,6.06,185715,1056,50.27
Nagaland,Northeast,86.51,5.38,296208,720.4,57.48
Odisha,East,89.46,2.64,312427,138.1,44.7
Punjab,North,72.77,6.03,206476,775.8,35.03
Rajasthan,North,84.78,7.15,112557,957.8,32.86
Sikkim,Northeast,76.68,10.38,199711,143.4,36.83
Tamil Nadu,South,90.5,9.88,311588,788.2,28.95
Telangana,South,76.3,11.14,123453,391.2,32.43
Tripura,Northeast,76.66,13.77,112276,660.9,28.07
Uttar Pradesh,North,91.21,3.8,223188,906.4,51.7
Uttarakhand,North,76.41,6.49,221212,376,29.24
West Bengal,East,78.04,5.59,184862,815.6,63.58
Andaman and Nicobar Islands,Islands,81.3,3.39,114943,1145.6,33.38
Chandigarh,North,67.49,9.39,295804,806.3,32.03
Dadra and Nagar Haveli and Daman and Diu,West,65.41,13.6,172795,837.1,51.8
Delhi,North,81.47,6.1,179462,749.4,58.97
Jammu and Kashmir,North,90.56,3.72,141093,1138.1,53.14
Ladakh,North,88.84,4.83,283903,865.3,50.61
Lakshadweep,Islands,76.02,2.68,282366,363.5,40.26
Puducherry,South,90.85,7.09,367135,291.2,50.26
